"מספר בספר החינוך","תת-מספר","שם","קבוצה","סוג (עשה/לא תעשה)","החייבים במצוה","תדירות","רצון","ארוע","עצם או אדם","זמן החיוב","מקום החיוב","העונש למפר במזיד","העונש למפר בשוגג","המקור ביד החזקה - הלכות","המקור ביד החזקה - מספר המצוה","הערות","טעמי המצוה"
450,0,"לא לעזוב הלוי מליתן לו מתנותיו ברגלים","מתנות הלוי",0,"אדם מישראל","זמן",,"3 רגלים","לוי","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","חגיגה","229",,"שבט לוי הוא השבט הנבחר והוא עוסק בחכמה ובתורה וכל ישראל מבקשים תורה מפיו ודואגים לכלכלתו"
451,0,"לשחוט בהמה וחיה ועוף כראוי","שחיטה",1,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","שחיטה","146",,"למנוע צער בעלי חיים. וכן השחיטה בצואר מוציע את רוב דמה של החיה ובכך נמנע מאכילת דם."
452,0,"לא לאכול אבר מן החי","אכילת אבר מן החי",0,"אדם מבני נוח","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","182",,"שלא נלמד נפשנו מידת האכזריות."
453,0,"להביא קדשים בבית הבחירה","זבחים מחוץ למקדש",1,"אדם מישראל","רצון","הקרבה",,"בהמה שהוקדשה","רק כשהמקדש קיים","בכל מקום","כרת","חטאת קבועה","מעשה הקרבנות","85",,"יש להקריב הקרבנות במקום המיועד לכך שבו שרויה ברכה ואנשים יראים מקדושת המקום ולכן שבים מדרכם הרעה בבואם"
454,0,"לא להוסיף על המצוות ופירושן","מצוות ללא עיוותים",0,"אדם מישראל","רצון","דיבור",,"תורת ה'","בכל זמן","בכל מקום","מלקות","אין","ממרים","313",,"הקב""ה ציוה את מצוותיו בתכלית השלמות וכל מעשיו הם שלמים וטובים . לכן להוסיף עליהם  נחשב כחיסרון ממצוות הקב""ה"
455,0,"לא לגרוע מכל המצוות ופירושן","מצוות ללא עיוותים",0,"אדם מישראל","רצון","דיבור",,"תורת ה'","בכל זמן","בכל מקום","מלקות","אין","ממרים","314",,"הקב""ה ציוה את מצוותיו בתכלית השלמות וכל מעשיו הם שלמים וטובים.ולכן  לגרוע מהם יחשב כחיסרון במצוות ה'"
456,0,"לא להישמע למתנבא בשם עבודה זרה","אי-ציות לנביא אלילים",0,"אדם מישראל","אדם",,,"עובד אלילים","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","28",,"התורה מזהירה אותנו מלשמוע לנביא ע""ז שמא מתוך אריכות דבריו נתפתה לדבריו. לכן מנעה מאיתנו מלהקשיב לדבריו אפילו שעה אחת"
457,0,"לא לאהוב את המסית","דין מסית",0,"אדם מישראל","אדם",,,"חוטא","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","17",,"התורה מזהירה אותנו מלשמוע למסית שמא מתוך אריכות דבריו נתפתה לדבריו. לכן מנעה מאיתנו מלהקשיב לדבריו אפילו שעה אחת"
458,0,"לא לעזוב שנאתו על המסית","דין מסית",0,"אדם מישראל","אדם",,,"חוטא","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","18",,"התורה מזהירה אותנו מלשמוע למסית שמא מתוך אריכות דבריו נתפתה לדבריו. לכן מנעה מאיתנו מלהקשיב לדבריו אפילו שעה אחת"
459,0,"לא להציל המסית כשיראו בסכנת מוות","דין מסית",0,"אדם מישראל","אדם",,,"חוטא","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","19",,"התורה מזהירה אותנו מלשמוע למסית שמא מתוך אריכות דבריו נתפתה לדבריו. לכן מנעה מאיתנו מלהקשיב לדבריו אפילו שעה אחת"
460,0,"לא ללמד זכות למסית כשיראו בסכנת מוות","דין מסית",0,"אדם מישראל","אדם",,,"חוטא","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים"," 20",,"התורה מזהירה אותנו מלשמוע למסית שמא מתוך אריכות דבריו נתפתה לדבריו. לכן מנעה מאיתנו מלהקשיב לדבריו אפילו שעה אחת"
461,0,"לא למנוע מללמד חובה על המסית","דין מסית",0,"אדם מישראל","אדם",,,"חוטא","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","21",,"התורה מזהירה אותנו מלשמוע למסית שמא מתוך אריכות דבריו נתפתה לדבריו. לכן מנעה מאיתנו מלהקשיב לדבריו אפילו שעה אחת"
462,0,"לא להסית לעבודה זרה","הסתה",0,"אדם מבני נוח","רצון","דיבור",,"אלילים","בכל זמן","בכל מקום","סקילה","אין","עבודת כוכבים","16",,"שורש המצוה ברור ונגלה לכל"
463,0,"לדרוש ולחקור העדים","חקירת העדים",1,"שופט","ארוע",,"דיון משפטי",,"בכל זמן","בכל מקום","אין","אין","עדות","179",,"חקירת העדים תמנע טעויות בדין חיוב הזכאי וההפך"
464,0,"לשרוף עיר הנידחת ולהרוג אנשיה","שריפת עיר הנידחת",1,"ציבור","אדם",,,"עיר הנידחת","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","עבודת כוכבים","186",,"אנשים רעים אלו שהסכימו כולם הסכמה רעה, יש למחותם ולאבד זכרם."
465,0,"לא לבנות עיר הנידחת","בניית עיר הנידחת",0,"אדם מישראל","אדם","יצירה",,"עיר הנידחת","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","עבודת כוכבים","23",,"אנשים רעים אלו שהסכימו כולם הסכמה רעה, יש למחותם ולאבד זכרםלעולם.  ולכן אין לבנות עיר זו שנית."
466,0,"לא ליהנות מכל ממונה של עיר הנידחת","הנאת עיר הנידחת",0,"אדם מישראל","אדם","שימוש",,"עיר הנידחת","רק כשהיובל נוהג","רק בארץ ישראל","מלקות","אין","עבודת כוכבים","24",,"שלא להנות מממון עובדי עבודה זרה"
467,0,"לא להתגודד","התגודדות",0,"אדם מישראל","עצם",,,"גוף","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","45",,"שלא נעשה בגופנו שום סימן שדומה לסימנהם של עובדי עבודה זרה"
468,0,"לא לקרוח שער ראשו על מת","קרחה על מת",0,"אדם מישראל","עצם",,"מוות אדם","שער","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","171",,"שלא נעשה  בגופנו שום סימן שדומה לסימנם של עובדי עבודה זרה"
469,0,"לא לאכול קדשים שנפסלו","אכילת קדשים שנפסלו",0,"אדם מישראל","ארוע","אכילה","פסילת הקרבן","בשר קודש","בכל זמן","בכל מקום","מלקות","אין","פסולי המקודשים","140",,"התורה מנעה מאיתנו להתקרב אל הקדש כדי שנפחד  מהקדש ,וכדי שתתעורר רוחנו וירך ליבנו מפני הקב""ה וקדושת הקרבן."
470,0,"לבדוק בסימני העוף","אכילת בשר",1,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","אין","אין","מאכלות אסורים","150",,"שלא לאכל מאכלות אסורים ,מפני  שמצווים אנו לשמור על גופנו מפני דברים מזיקים."
471,0,"לא לאכול שרץ העוף","אכילת בשר",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","175",,"שלא לאכל מאכלות אסורים ,מפני  שמצווים אנו לשמור על גופנו מפני דברים מזיקים."
472,0,"לא לאכול נבלה","אכילת בשר",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","180",,"אכילת נבלות וטרפות גורמת להפסד (נזק) לגוף"
473,0,"להפריש מעשר שני","הפרשת מעשר שני",1,"אדם מישראל","עצם",,"שנה","מעשר שני","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","מעשר שני ונטע רבעי","10",,"מכיון שהאדם הוא יצור גשמי הנמשך אחר החומר, לכן ציוה אותו הקב""ה לקחת את המעשר  שני לירושלים, ששם מקום הסהנדרין ,ובזמן זה ישב בירושלים ויעשק בתורה"
474,0,"להפריש מעשר עני","מעשר עני",1,"אדם מישראל","עצם",,"3 שנים","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","מתנות עניים","11",,"רצה האל להרגיל אותנו למידת החסד ורצה לזכותינו במצוה להטיב לעני"
475,0,"שלא לתבוע חוב שעברה עליו שביעית","שמיטת חובות בשביעית",0,"אדם מישראל","זמן","הלוואות","7 שנים","רכוש הזולת","רק כשהיובל נוהג","בכל מקום","אין","אין","שמיטה ויובל","230",,"ללמד נפשינו מידת הנדיבות ועין טובה ונקבע בליבנו ביטחון  בה'."
476,0,"לנגוש את הנוכרי עובד עבודה זרה","גביית חוב מנכרי",1,"אדם מישראל","רצון","הלוואות",,"נכרי","בכל זמן","בכל מקום","אין","אין","מלוה ולוה","142",,"שלא נרחם עלהם שמא מתוך כך נמשך אחר מעשיהם."
477,0,"שישמיט כל הלוואותיו בשביעית","שמיטת חובות בשביעית",1,"אדם מישראל","זמן","הלוואות","7 שנים","רכוש הזולת","רק כשהיובל נוהג","בכל מקום","אין","אין","שמיטה ויובל","141",,"ללמד נפשינו מידת הנדיבות ועין טובה ונקבע בליבנו ביטחון בה'.ומתוך כך נתרחק מהגזל שאפילו הלוואות שהלוותי אינם שלי בשמיטה כל שכן דברים ששיכים לאחר."
478,0,"לא יאמץ את לבבו על העני","צדקה לעניים",0,"אדם מישראל","אדם",,,"עני","בכל זמן","בכל מקום","אין","אין","מתנות עניים","232",,"רצה האל להרגיל אותנו למידת החסד ורצה לזכותינו במצוה להטיב לעני"
479,0,"לתת צדקה כמסת ידו","צדקה לעניים",1,"אדם מישראל","אדם",,,"עני","בכל זמן","בכל מקום","אין","אין","מתנות עניים","195",,"רצה האל להרגיל אותנו למידת החסד ורצה לזכותינו במצוה להטיב לעני"
480,0,"לא ימנע מלהלוות קודם שמיטה","הלואה לפני השמיטה",0,"אדם מישראל","זמן",,"7 שנים","עני","בכל זמן","בכל מקום","אין","אין","שמיטה ויובל","231",,"לחזק בליבנו מידת הנדיבות ולהרחיק תכלית ההרחקה מידת הרכילות"
481,0,"לא לשלוח עבד עברי ריקם","שחרור עבד עברי",0,"אדם מישראל","אדם",,"שחרור עבד עברי","עבד עברי","רק כשהמקדש קיים","בכל מקום","אין","אין","עבדים","233",,"למען נקנה בנפשנו מידות מעולות ויקרות. ויפה צווינו שנרחם על העבד שעבד אצלנו ,וניתן לו משלנו כתורת חסד מלבד מה שהתננו עמו לתת לו משכרו."
482,0,"להעניק לעבד העברי בצאתו לחופשי","שחרור עבד עברי",1,"אדם מישראל","אדם",,"שחרור עבד עברי","עבד עברי","רק כשהמקדש קיים","בכל מקום","אין","אין","עבדים","196",,"למען נקנה בנפשנו מידות מעולות ויקרות. ויפה צווינו שנרחם על העבד שעבד אצלנו ,וניתן לו משלנו כתורת חסד מלבד מה שהתננו עמו לתת לו משכרו."
483,0,"לא לעבוד בקדשים","העבדת קדשים",0,"אדם מישראל","עצם","מלאכה",,"בהמה שהוקדשה","רק כשהמקדש קיים","בכל מקום","מלקות","אין","מעילה","113",,"להרחיקנו מלהתקרב אל הקדשים ומנגוע בהן."
484,0,"לא לגזוז הצמר בקדשים","העבדת קדשים",0,"אדם מישראל","עצם","מלאכה",,"בהמה שהוקדשה","רק כשהמקדש קיים","בכל מקום","מלקות","אין","מעילה","114",,"להרחיקנו מלהתקרב אל הקדשים ומנגוע בהן."
485,0,"לא לאכול חמץ בערב פסח אחר חצות","אכילת חמץ",0,"אדם מישראל","זמן","אכילה","חג פסח","לחם","בכל זמן","בכל מקום","מלקות","אין","חמץ ומצה","199",,"ענין איסור חמץ בפסח הוא איסור חמור ביותר מפני שכל מצוה זו היא יסוד גדול בדתנו, לכן הזהירה אותנו התורה להתחיל בה 6 שעות קודם הגיע זמן אותו הנס ."
486,0,"לא להותיר מקורבן החגיגה שמביאים עם קרבן הפסח עד יום שלישי","חגיגה עם קרבן הפסח",0,"אדם מישראל","זמן",,"חג פסח",,"רק כשהמקדש קיים","בכל מקום","אין","אין","קרבן פסח","119",,"הפסח היא מצוה גדולה ויסוד חשוב בתורתנו על כן נצטונו לעשות יום שחיטתו יום שמחה ואין שמחה אלה בבשר ונצטונו לא להותיר ממנו  עד יום השלישי כדי להרבות שמחה"
487,0,"לא להקריב קורבן פסח בבמת יחיד","שחיטת קרבן הפסח",0,"אדם מישראל","זמן",,"חג פסח",,"רק כשהמקדש קיים","בכל מקום","מלקות","אין","קרבן פסח",,"לאו זה לא נכלל במנית המצוות עונש המלקות הוא בנוסף לכרת על הקרבה בבמות","לקבוע  בנפשנו גודל ענין הפסח ויוקר המצוה, ופרסומה  הוא כשיעשוה במקום מסוים יחד."
488,0,"לשמוח ברגלים","שמחת חג",1,"אדם מישראל","זמן",,"3 רגלים",,"בכל זמן","בכל מקום","אין","אין","חגיגה","54",,"טבעו של האדם זקוק לשמחה כמו למזון ושינה,  רצה האל לזכותנו וקבע לנו חגים ומועדים לזכור בהם הניסים אשר גמלנו, ובהם נכלכל את נפשנו בדבר השמחה הצריכה אליו"
489,0,"להיראות בבית הבחירה ברגלים","ראיית חג",1,"גבר מישראל","זמן",,"3 רגלים",,"רק כשהמקדש קיים","בירושלים","אין","אין","חגיגה","53",,"למען יראו כל ישראל ויתנו אל לבם בפעולת הקרבן המעורר לבבות"
490,0,"לא להיראות בבית הבחירה ברגלים בלא קורבן","ראיית חג",0,"גבר מישראל","זמן",,"3 רגלים",,"רק כשהמקדש קיים","בירושלים","אין","אין","חגיגה","156",,"למען יראו כל ישראל ויתנו אל לבם בפעולת הקרבן המעורר לבבות"
491,0,"למנות שופטים ושוטרים","מינוי שופטים",1,"אדם מבני נוח","רצון","מינוי שופטים",,,"רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","סנהדרין","176",,"מצוה זו שולחת את העם להשפט אצל גדולי העם וע""י כך ידבקו האנשים במעשיהם הטובים ובהרגליהם הישרים"
492,0,"לא ליטע עץ במקדש (אשרה)","אשרה",0,"אדם מישראל","רצון","זריעה",,"מקדש","בכל זמן","בירושלים","מלקות","אין","עבודת כוכבים","13",,"לפי שכך היו עושים עובדי עבודה זרה"
493,0,"לא להקים מצבה","עשיית פסל",0,"אדם מבני נוח","רצון","יצירה",,"פסלים","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","11",,"לפי שכך היו עושים עובדי עבודה זרה"
494,0,"לא להקריב בעל מום עובר","שחיטת בעלי מום",0,"אדם מישראל","רצון","הקרבה","מום בהמה","חיות","רק כשהמקדש קיים","בירושלים","מלקות","אין","איסורי המזבח","95",,"קרבנות הן לכוון ולעורר מחשבות בני האדם על כן ראוי שיהיה הקורבן ללא מום כי הלבבות יתעוררו בחשוב ובשלם יותר."
495,0,"לשמוע בקול בית דין בכל זמן","ציות לשופט",1,"אדם מישראל","אדם",,,"שופט","רק כשהיובל נוהג","בכל מקום","אין","אין","ממרים","174",,"לחזק קיום דתינו,שע""י קבלת דעת רוב החכמים ישנה אמת אחת ועליה אנו מצווים"
496,0,"לא לסור מדברי השופטים","ציות לשופט",0,"אדם מישראל","אדם",,,"שופט","בכל זמן","בכל מקום","אין","אין","ממרים","312",,"כדי שלא תעשה התורה כתורות הרבה ,נצטווינו לשמוע לדברי החכמים שנוהגים לפי הפרוש המקובל להם ,ובהסכמה זו נכוון אל דרך האמת בידיעת התורה"
497,0,"למנות מלך מישראל","מינוי מלך",1,"ציבור","רצון","המלכה",,,"רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מלכים ומלחמות","173",,"לא יתקיים ישוב העם בלא איש אחד שיהיה להם לראש וקצין"
498,0,"לא להקים עלינו מלך נוכרי","מלך נכרי",0,"ציבור","רצון","המלכה",,"נכרי","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מלכים ומלחמות","362",,"חשוב שהממונה לראש הציבור יהיה מבני ישראל שהם רחמנים בני רחמנים. מכאן למדים שאסור להעמיד למלך גם אנשים רעים ואכזריים מבני ישראל."
499,0,"לא ירבה המלך סוסים","צבא המלך",0,"מלך","רצון",,,"חיות","רק כשהיובל נוהג","רק בארץ ישראל","מלקות","אין","מלכים ומלחמות","363",,"שלא יחזיר את העם למצרים בתאוותו אחר סוסים"
500,0,"לא לשכון בארץ מצרים","ארץ מצרים",0,"אדם מישראל","רצון","תנועה",,,"בכל זמן","בכל מקום","אין","אין","מלכים ומלחמות","46",,"רצה הקב""ה שלא נטמא שוב במעשיהם הרעים של מצרים ולא נטמא בהם."
501,0,"לא ירבה המלך נשים","נשי המלך",0,"מלך","רצון","בחירת בת זוג",,"איש ואשה","רק כשהיובל נוהג","רק בארץ ישראל","מלקות","אין","מלכים ומלחמות","364",,"הנשים מסירות לב בעליהן"
502,0,"לא ירבה המלך כסף וזהב","רכוש המלך",0,"מלך","רצון","עסקים כשרים",,"רכוש","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מלכים ומלחמות","365",,"שלא יכביד על ישראל בכובד המס . דבר שני ע""י כך ימנע מהמלך גאוה ורוממות לב."
503,0,"שיכתוב המלך ספר תורה שני לעצמו","ספר תורה מלכותי",1,"מלך","ארוע",,"פעם בחיים","תורת ה'","בכל זמן","רק בארץ ישראל","אין","אין","ספר תורה","17",,"המלך צריך שמירה מיוחדת כדי שלא יטעה במעשיו ."
504,0,"לא ינחל שבט לוי בארץ ישראל","ערי הלויים",0,"ציבור","ארוע",,"כניסה לארץ","לוי","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","שמיטה ויובל","170",,"כדי שיהיה עיסוקם כל הזמן בעבודת ה' ולא בעבודת האדמה"
505,0,"לא יקח שבט לוי חלק בביזה","ביזת הלויים",0,"לוי","ארוע",,"מלחמה","רכוש כללי","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","שמיטה ויובל","170",,"לפי שהלווים משרתי ה' לא נאה להם להשתמש בכלים חטופים מיד בני האדם"
506,0,"לתת זרוע ולחיים וקיבה לכוהן","זרוע לחיים וקיבה",1,"אדם מישראל","רצון","אכילה",,"חיות","רק כשהמקדש קיים","בירושלים","אין","אין","ביכורים","143",,"בזכות פנחס הכהן שקנא לאלוהיו והרג את כזבי זכו בניו למתנה זו."
507,0,"להפריש תרומה גדולה לכוהן","תרומה גדולה",1,"אדם מישראל","עצם",,"שנה","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מיתה בידי שמים","חטאת קבועה","תרומות","127",,"לפי שהדגן התירוש והיצהר הם עיקר מחיתו ששל האדם לכן ראוי לאדם לזכור בוראו על הברכה אשר ברך אותו ולהפריש מהם לכהנים משרתי ה'"
508,0,"לתת לכוהן ראשית הגז","ראשית הגז",1,"אדם מישראל","עצם",,"שנה","חיות","בכל זמן","רק בארץ ישראל","אין","אין","ביכורים","144",,"הכרהנים שאין להם קרקע נחלה ובקר לעבודה נתן  להם ה' מתנות כמו מעשרות וביכורים וקורבנות וע""י ראשית הגז ניתן להם מלבוש ללבוש"
509,0,"שתהיינה המשמרות שוות ברגלים","משמרות בחגים",1,"לוי","זמן",,"3 רגלים",,"רק כשהמקדש קיים","בירושלים","אין","אין","כלי המקדש","36",,"כאשר המשמרות מסודרות וידועות מראש עבודת המקדש תעשה בחריצות וביעילות ולא מתוך עצלות ויאוש"
510,0,"לא לקסום (לעסוק בקסמים) שיגידו מה שיתרחש קודם שיתרחש","קסמים",0,"אדם מבני נוח","רצון","מאגיה",,,"בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","31",,"להתרחק מהעבודה זרה לפי שכל עניני הקסמים והכישופים מטעים ההמון,שאם יצדק הקוסם במקצת מדבריו יהיה פה פתח להדבק בעבודה זרה"
511,0,"לא לכשף","כישוף",0,"אדם מבני נוח","רצון","מאגיה",,,"בכל זמן","בכל מקום","סקילה","חטאת קבועה","עבודת כוכבים","34",,"הכישוף גורם כמה תקלות לבני אדם וע""כ צוונו לסלק מן העולם כל מי שעוסק בזה לפי שהוא בא נגד רצון ה' שחפץ בישוב העולם בדרך הטבע והמכשף בא לשנות הכל"
512,0,"לא לחבור חבר","חבירה",0,"אדם מבני נוח","רצון","מאגיה",,,"בכל זמן","בכל מקום","מלקות","חטאת קבועה","עבודת כוכבים","35",,"נמנענו מלעשות שבועות שהן גורמות כמה תקלות לבני אדם  לפי שהן באות נגד רצון ה' שחפץ בישוב העולם בדרך הטבע."
513,0,"לא לשאול בבעל אוב","כשפי מוות",0,"אדם מבני נוח","רצון","מאגיה",,"אדם מת","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","36",,"השאלה באוב גורמת כמה תקלות לבני אדם וע""כ צוונו לסלק מן העולם כל מי שעוסק בזה לפי שהוא בא נגד רצון ה' שחפץ בישוב העולם בדרך הטבע. והוא בא לשנות הכל"
514,0,"לא לשאול בידעוני","ידעוני",0,"אדם מבני נוח","רצון","מאגיה",,,"בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","37",," השואל ב ידעוני גורם כמה תקלות לבני אדם .לפי שהוא בא נגד רצון ה' שחפץ בישוב העולם בדרך הטבע והשואל בידעוני בא לשנות הכל"
515,0,"לא לדרוש את המתים","כשפי מוות",0,"אדם מבני נוח","רצון","מאגיה",,"אדם מת","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","38",,"להתרחק מהעבודה זרה"
516,0,"לשמוע אל נביא אמת","ציות לנביא",1,"אדם מישראל","אדם",,,"נביא","בכל זמן","בכל מקום","אין","אין","יסודי התורה","172",,"תכלית מעלת האדם היא השגת הנבואה וכאשר ישנו נביא שזכה למדרגה זו ונאמן הוא לנביא .נאמין לכל דבריו ובל נמרה את פיו."
517,0,"לא להתנבא בשקר","נבואת שקר",0,"אדם מישראל","רצון","נבואה",,,"בכל זמן","בכל מקום","חנק","אין","עבודת כוכבים","27",,"יהיה בזה חורבן גדול כי אחד מעיקרי האמונה  הוא האמונה בנביאים"
518,0,"לא להתנבא בשם עבודה זרה","נבואת אלילים",0,"אדם מבני נוח","רצון","נבואה",,"אלילים","בכל זמן","בכל מקום","חנק","אין","עבודת כוכבים","26",,"השואל במתים גורם כמה תקלות לבני אדם וע""כ צוונו לסלק מן העולם כל מי שעוסק בזה לפי שהוא בא נגד רצון ה' שחפץ בישוב העולם בדרך הטבע והמכשף בא לשנות הכל"
519,0,"לא לגור (לחשוש) מהריגת נביא השקר","הריגת נביא שקר",0,"אדם מישראל","אדם",,,"נביא","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","עבודת כוכבים","29",,"נביא זה גרם לפגיעה בעיקרי האמונה ולכן יש להורגו."
520,0,"להפריש ערי מקלט","הפרשת ערי מקלט",1,"ציבור","ארוע",,"כניסה לארץ",,"רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","רוצח ושמירת הנפש","182",,"כדי שלא יומת ההורג שוגג ע""י גואל הדם."
521,1,"לא לחוס על הרוצח","דין רוצח",0,"שופט","אדם",,,"חוטא","רק כשהמקדש קיים","בכל מקום","אין","אין","סנהדרין","279",,"אם לא נייסר המזיקין ונבער הרע מקרבנו איש את רעהו חיים בלעו ולא יתישבו המדינות"
521,2,"לא לחוס על החובל","ענישת מזיקים",0,"שופט","אדם",,,"חוטא","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","סנהדרין","279",,"אם לא נייסר המזיקין ונבער הרע מקרבנו איש את רעהו חיים בלעו ולא יתישבו המדינות"
522,0,"לא להסיג גבול","הסגת גבול",0,"אדם מבני נוח","עצם",,,"רכוש הזולת","בכל זמן","בכל מקום","אין","אין","גניבה","246",,"דבר שהשכל מעיד עליו ותועלת הכל היא"
523,0,"לא יקום דבר העדות בעד אחד (שלא יסכימו שניים להעיד בשקר)","חקירת העדים",0,"שופט","ארוע",,"דיון משפטי",,"בכל זמן","בכל מקום","אין","אין","עדות","288",,"לפי שיצר לב האדם רע מנעוריו ולפעמים יעלה טינה על חברו ויעיד נגדו.וחזקה על זרע ישראל שלא יסכימו שניים להעיד בשקר."
524,0,"לעשות לעד זומם כאשר זמם","עד זומם",1,"שופט","אדם",,,"חוטא","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","עדות","180",,"ליסר כל איש אשר מעיד כאשר אינו יודע האמת בברור"
525,0,"לא לערוץ ולפחד ממלחמה","פחד ממלחמה",0,"גבר מישראל","ארוע","מחשבה","מלחמה",,"רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מלכים ומלחמות","58",,"על כל אחד מישראל לשום מבטחו בה',ולא ירא על גופו במקום שיוכל לתת כבוד לה'."
526,0,"למשוח כוהן למלחמה, שידבר אל העם דברי חיזוק, וישלח לביתם את הפטורים ממלחמה","הכנות למלחמה",1,"ציבור","ארוע",,"מלחמה","כהן","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","מלכים ומלחמות","191",,"בשעת המלחמה צריכים אנשי המלחמה חיזוק והכהנים שהם מבחר העם עלהם הוטל התפקיד"
527,0,"לשלוח שלום לערים שצרים עליהן","קריאה לשלום לערים",1,"ציבור","ארוע",,"מלחמה","עמים אחרים","רק כשהיובל נוהג","בכל מקום","אין","אין","מלכים ומלחמות","190",,"ראוי לנו כעם להתנהג במידת הרחמנות גם כלפי עובדי עבודה זרה למעלת נפשנו ולא מצד שהם ראויים לחסד ורחמים"
528,0,"לא להחיות נשמה משבעה עממין","מלחמה בכנענים",0,"ציבור","ארוע",,"כניסה לארץ","עמים אחרים","בכל זמן","בכל מקום","אין","אין","מלכים ומלחמות","49",,"שבעת עממים אלו הם עיקר העבודה זרה ולכן נצטוינו להורגם"
529,0,"לא להשחית אילני מאכל","השחתת עצים",0,"אדם מישראל","עצם",,,"אדמה חקלאית","בכל זמן","בכל מקום","מלקות","מכת מרדות","מלכים ומלחמות","57",,"ללמד נפשנו לאהוב הטוב ולהדבק בו ולמנוע מנפשנו מידת ההשחתה."
530,0,"לערוף ראש העגלה בנחל כשנמצא הרוג ולא יודעים מי הכהו","עריפת העגלה",1,"ציבור","ארוע",,"מוות מסתורי","חיות","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","רוצח ושמירת הנפש","181",,"המעשה הגדול של עגלה ערופה שמתעסקים איתו גדולי העיר. מעיד על הרצון הגדול לבער הרוצחים הרעים מקרבנו,למצא את הרצח ולנקום את נקמת הנרצח"
531,0,"לא לעבוד ולזרוע בקרקע שערפו בה את העגלה","קרקע עריפת העגלה",0,"אדם מישראל","ארוע","זריעה","מוות מסתורי","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","רוצח ושמירת הנפש","309",,"להזכיר לעולם לכל עוברי דרך כי על דבר רציחתו של אדם בדרך נערפה עגלה במקום זה והוא נשאר חרב לעולם ויבינו חומרת המעשה"
532,0,"לדון דין יפת תואר ככתוב בתורה","לקיחת שבויה",1,"גבר מישראל","אדם","יחסי מין","מלחמה","שבויה","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","מלכים ומלחמות","221",,"התורה התירה אשת יפת תואר נגד יצר הרע."
533,0,"לא למכור יפת תואר","מכירת שבויה",0,"גבר מישראל","אדם","מכירה","מלחמה","שבויה","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","מלכים ומלחמות","263",,"ללמד נפשנו מידות טובות ויקרות. שלא לנצל את האשה ואחר כך למכור אותה כמעשהם של הנבלים והפחותים"
534,0,"לא להעביד יפת תואר אחר שבעלה","העבדת שבויה",0,"גבר מישראל","אדם","מלאכה","מלחמה","שבויה","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","מלכים ומלחמות","264",,"ללמד נפשנו מידות טובות ויקרות.להתיחס אל האשה בכבוד הראוי לה ולא לנצלה כמידת הנבלים והפחותים."
